BF_mean,BF_95,BF_tot,WMA_mean,WMA_95,WMA_tot,RZ_mean,RZ_95,RZ_tot,O_mean,O_95,O_tot,PO_mean,PO_95,PO_tot,RP_mean,RP_95,RP_tot,R_mean,R_95,R_tot
247.69237339481523,379.7524768310707,2406.7359765655133,122.76844549879073,191.08811268263116,1483.2113850363708,189.6586191001469,303.56237788167397,2011.6962157106095,114.76706665537071,177.29354248457668,1453.6257111189277,136.93994990785987,223.30112495753488,1659.2871791308976,139.65799084399833,234.58465905327128,1585.6955346065947,131.34236102102543,208.43944582849238,1699.7051185652033
229.08646559624435,382.24757774256733,2211.661239677753,114.48351381906322,179.92080726361016,1427.4925462212586,197.42086794905472,311.5183139627507,2135.7464770027254,113.69249727534164,182.2682189530026,1460.1667151981985,138.19252180379064,232.78030367813466,1701.350128928801,135.45164552568508,226.57160960651558,1614.5888067098922,140.149237639465,229.48611483358414,1745.6728116380932
244.99524562573845,451.6030593434151,2313.9426594247125,115.624384666181,190.9122125607098,1449.727230522549,203.70191624537975,340.9164764272461,2111.707154411581,112.83174024453983,169.07425124118103,1433.3804720624046,133.6718747102737,207.61651002895996,1679.0475569078474,134.19669199496025,222.4262822150794,1639.601760037237,122.25361772613768,200.04485166559508,1540.186895971429
249.3896808101002,446.73760052840925,2383.944074763598,110.80346053086745,179.13715535215994,1442.5052655219115,232.4358367806805,379.1344927194977,2279.9842215602785,111.85245928090647,176.15165602762127,1448.641279039755,143.0803855920733,230.85575662899325,1767.0166591788784,129.1789549921917,199.85452064156448,1596.4681823375158,132.47454609263693,221.60881214554502,1584.309043070404
253.6352794480085,440.7908832410687,2362.0059868328935,119.88114691418023,199.9464436676651,1394.0212868760173,238.50526312504243,416.5481694408465,2463.2128244154815,117.49449839534942,183.90005616522282,1442.1856112635674,129.87744765589568,216.46598221188154,1655.5421898735194,139.60025684776943,231.50018120887813,1646.6311866781518,136.58030941113213,211.234760874255,1661.5512068362757
234.7203578473599,378.30410945178295,2333.521285771516,124.39233827720452,201.76909956601543,1600.4970190865095,219.30902468936068,376.45340709872966,2234.760531340249,109.05458113368925,167.9746413187751,1428.633970639504,143.0436190783645,239.83593403006037,1923.7929643249447,128.93694625855213,211.4749061826483,1493.2895224918584,145.53105705151074,230.34888183397817,1743.1626427065485
270.5631128261438,429.39833800266786,2577.6039861905842,112.26749948129485,183.14980121150396,1331.7597477999893,203.79101037575492,340.4050430539261,2159.265904979058,116.2792994900075,182.0247165431014,1514.6095561831658,139.45850717430486,216.89879707214922,1787.5241040198716,141.80864636821133,239.54480566001078,1614.504665783486,146.56657602564363,262.3517135390818,1737.8120643732466
221.60592733186246,390.2993669742222,2066.2692919226088,123.59571037628069,192.11623286841706,1611.560096666615,215.90597757311022,397.12326292423273,2173.9263007652053,121.80440424579929,186.31888317890963,1517.6031859521793,128.5219254499239,199.730295980726,1607.6057025351263,135.09302989812767,224.20647964185486,1604.965148542083,135.17514420532243,214.35267977430922,1811.3166586682128
262.31539874667044,504.7819044117966,2469.3874787614227,117.3135096663988,183.53802998168973,1459.9756327592893,222.60422864653435,373.88360342474476,2343.758631788073,114.05536544810313,178.90935876164775,1389.8810519136505,136.05314042379652,223.22849078303298,1703.9535506568689,146.7612620448329,249.1476126037512,1752.6244319991188,133.92819170106264,214.1325413494234,1650.7352711583906
257.858557989738,407.2632240913132,2469.9203602050184,124.72778808311696,200.58778192550258,1488.8692503734198,221.6089674070922,356.90527306409035,2256.535441867385,112.69856319582075,178.06909882760033,1360.6907844654038,139.61685810340646,217.7703517711273,1726.8464191659966,133.39094438469996,218.47451933550957,1566.8153415914917,135.10928368822235,233.81929239658663,1724.9760647968321
236.37135663296957,377.46223366209017,2363.7987760380956,121.43048947504298,192.971579582909,1479.0678218007097,198.3992407600742,368.5738458909392,2070.2992576745396,103.1138841550376,171.19442196468364,1356.260420239673,140.18453515405585,218.60517102802916,1746.3163901376854,132.30607660054773,227.84371619150772,1506.850953669976,133.90067202303356,212.33831290399922,1622.3528545832983
228.23745403295098,369.90431642885073,2278.0896405864128,119.87480412253922,197.3085582195985,1440.7957750865808,204.00228107742234,326.8607149926554,2168.5309630866427,118.41947065984307,190.63278541489643,1399.1078882486415,149.34853252540202,242.82590574653815,1746.6110982947957,132.37471999607536,224.711034477432,1645.5268375191827,142.37294767852387,237.25727955804288,1715.8318058083962
242.23877562910607,392.9708444656629,2354.756326878721,118.81992221216906,186.87292674292047,1488.3404708491682,200.99799807057954,352.70692618289377,2113.8991906797064,106.0208694123143,167.08164738194168,1428.9836214977959,139.8552567946701,226.36396979222596,1736.0950471868864,136.78062760805037,234.25289471517547,1518.4241815726004,143.09472562789097,225.48636606357707,1853.8152671399184
236.77465049557844,398.75002976531556,2227.726736792675,120.20249303019736,187.46542725644784,1485.2206186087838,206.59345493874883,338.83914332394477,2132.1311016500795,113.1120103634322,175.90170213833727,1393.9264016519392,134.4727028062134,216.84888876548644,1790.496313944956,139.00963451805637,243.57772930814184,1594.7175202490116,141.6833714073395,241.56962626326762,1737.6220252218277
241.65370256770964,424.9110898856629,2348.5859829336437,126.15031393004172,197.9767935716364,1504.4251163490826,208.79479805292564,338.567298466496,2154.645840494109,111.548236495593,167.26513476427053,1432.1858024431833,132.5861586407467,221.14023894620868,1562.7450678707607,151.67178289414645,286.66657995597404,1666.50045804803,147.021242048257,241.46199890417066,1768.391541755116
238.955238033489,379.436315045448,2279.028153813329,126.79738465010676,187.33233459264628,1590.1835667635744,210.48404062253226,318.39142494944565,2351.170086776924,110.54780495980529,166.76856044411633,1408.702047960577,137.41287898820784,222.65575822536147,1743.4355007877293,134.95590126752938,215.60389610884664,1567.5140962129453,123.75771233329903,201.10591410392786,1595.1142329743761
247.99983785694656,444.29874207619,2408.9950476194435,110.51970516786794,168.98658742893306,1443.7190629157278,196.80320494560394,325.9585436436346,2064.402394224316,115.71565592662753,186.57572694732346,1413.8169477957517,128.77626632582616,205.94658083486416,1563.0699406727358,128.1356151702771,217.1670314178419,1546.9295046110947,132.45499898982453,211.61274750621104,1620.5073702969012
